_id,societyId,residentId,flatId,complaintNumber,title,description,category,priority,status,residentFeedback,expectedResolutionAt,actualResolutionAt,isArchived,predictionStatus,aiOverridden,createdAt,attachments,__v,updatedAt,created_month,created_weekday,created_hour,complaint_age_days,resolution_time_hours,is_open,complaint_age_bucket,resolution_sla_missed
6a60919d62a1662d3b68036b,6a5b33f154b73fc9cb5effdf,6a5e40d56ed32b9a22aee986,6a5b4909656cac97daff6b8d,CMP-2026-0079,Sopor urbanus utrimque aperio somniculosus ipsa thermae.,Supellex nemo turba cognomen utpote vulgivagus cito tantum. Sumptus suffragium aro comburo theca. Astrum repellat ager crebro vapulus defleo.,OTHER,HIGH,assigned,,2026-07-18 01:19:21.960,,False,PENDING,False,2026-07-16 01:19:21.960000+00:00,[],0,2026-07-22 09:47:09.306000+00:00,7,3,1,6.352888754942129,,False,3-7 days,False
6a60919d62a1662d3b680325,6a5b33f154b73fc9cb5effdf,6a5faffaf9a6aaf7b13e2e1f,6a5e3f3f6ed32b9a22aee907,CMP-2026-0009,Depromo audentia clementia theologus claustrum subiungo certe.,Coaegresco valetudo vindico asporto contego statim verus arbor alveus cupiditas. Adhuc audentia peior alias comedo pel averto stultus caries sponte. Cavus cimentarius ventosus cetera turba auxilium.,LIFT,CRITICAL,resolved,,2026-05-07 18:00:07.450,2026-07-22 08:41:38.608,False,PENDING,False,2026-05-05 18:00:07.450000+00:00,[],0,2026-07-22 09:47:09.304000+00:00,5,1,18,77.65791780586807,1863.7838483333333,False,30+ days,False
6a60919d62a1662d3b680334,6a5b33f154b73fc9cb5effdf,6a5b5008120eac5c280cb195,6a5e3f3f6ed32b9a22aee94e,CMP-2026-0024,Velit ante reprehenderit uter ab.,Ad inventore atque officia abscido. Temporibus uter despecto denuo adiuvo. Tripudio usitas trepide desidero absorbeo confugo taedium verbum claudeo.,ELECTRICAL,CRITICAL,open,,2026-07-13 05:39:41.265,,False,PENDING,False,2026-07-11 05:39:41.265000+00:00,[],0,2026-07-22 09:47:09.305000+00:00,7,5,5,11.172109761886574,,False,8-30 days,False
6a60919d62a1662d3b680323,6a5b33f154b73fc9cb5effdf,6a5fb2a4f9a6aaf7b13e2f11,6a5e3f3f6ed32b9a22aee90a,CMP-2026-0007,Animadverto adfero adeo callide.,Quibusdam vapulus tergum supplanto. Conventus autus videlicet libero totidem. Thermae amicitia summa vero thymbra.,LIFT,MEDIUM,assigned,,2026-05-13 12:25:48.779,,False,PENDING,False,2026-05-11 12:25:48.779000+00:00,[],0,2026-07-22 09:47:09.304000+00:00,5,0,12,71.89007834984953,,False,30+ days,False
6a60919d62a1662d3b680374,6a5b33f154b73fc9cb5effdf,6a5e40d56ed32b9a22aee986,6a5b4909656cac97daff6b7b,CMP-2026-0088,Amaritudo crinis suffoco bonus ceno volutabrum.,Auditor subiungo apud solvo ea alius aurum arguo patrocinor modi. Ceno cena aut capitulus adamo villa thema abeo. Suasoria consequatur theatrum deduco solium denique.,PLUMBING,MEDIUM,resolved,,2026-06-27 00:06:08.814,2026-07-12 23:19:09.774,False,PENDING,False,2026-06-25 00:06:08.814000+00:00,[],0,2026-07-22 09:47:09.307000+00:00,6,3,0,27.40373535216435,657.6834702777777,False,8-30 days,False
6a60919d62a1662d3b68034b,6a5b33f154b73fc9cb5effdf,6a5faffaf9a6aaf7b13e2e20,6a605be607be72cd0147a5c0,CMP-2026-0047,Optio deficio deporto corrigo cuius depereo nulla.,Atque tripudio compono subseco cupressus conitor. Voro celer adiuvo conservo. Comprehendo ascit similique defaeco vitiosus quis.,PARKING,CRITICAL,closed,,2026-05-29 05:47:47.402,2026-06-28 20:15:55.635,False,PENDING,False,2026-05-27 05:47:47.402000+00:00,[],0,2026-07-22 09:47:09.305000+00:00,5,2,5,56.16648317623842,1347.9894175,False,30+ days,False
6a60919d62a1662d3b680331,6a5b33f154b73fc9cb5effdf,6a5e40d56ed32b9a22aee986,6a5b4909656cac97daff6b51,CMP-2026-0021,Beneficium clarus consuasor viscus solutio virga alo celo cernuus.,Torqueo claudeo sol curiositas aestas tactus numquam conitor causa. Tenus curriculum civitas celer charisma. Assentator caste omnis voluptates abeo capto sursum casso versus.,SECURITY,HIGH,closed,,2026-05-15 15:11:15.595,2026-06-21 02:43:41.294,False,PENDING,False,2026-05-13 15:11:15.595000+00:00,[],0,2026-07-22 09:47:09.305000+00:00,5,2,15,69.77518464614583,1674.5982527777778,False,30+ days,False
6a60919d62a1662d3b680342,6a5b33f154b73fc9cb5effdf,6a5e40d56ed32b9a22aee986,6a605be607be72cd0147a5a5,CMP-2026-0038,Testimonium appono nisi aequus somniculosus decens coaegresco deleniti volubilis subvenio.,Vindico utique animi. Acerbitas umquam apparatus desipio cedo aliqua. Clibanus turba nam nisi.,LIFT,CRITICAL,closed,,2026-06-05 14:03:54.279,2026-07-16 01:57:46.392,False,PENDING,False,2026-06-03 14:03:54.279000+00:00,[],0,2026-07-22 09:47:09.305000+00:00,6,2,14,48.82195913688657,1171.7208405555557,False,30+ days,False
6a60919d62a1662d3b680368,6a5b33f154b73fc9cb5effdf,6a605fde07be72cd0147a6cc,6a5e3f3f6ed32b9a22aee8da,CMP-2026-0076,Dolor absens termes curis.,Admoneo comprehendo neque ea confero basium pauper abbas talio agnosco. Subito ventus surculus super conatus. Caelestis aperio saepe canonicus distinctio creator thorax curso.,OTHER,LOW,closed,,2026-07-12 17:03:22.349,2026-07-12 19:40:21.114,False,PENDING,False,2026-07-10 17:03:22.349000+00:00,[],0,2026-07-22 09:47:09.306000+00:00,7,4,17,11.69732869707176,280.72971027777777,False,8-30 days,False
6a60919d62a1662d3b68037f,6a5b33f154b73fc9cb5effdf,6a5fb2a4f9a6aaf7b13e2f11,6a5e3f3f6ed32b9a22aee8e0,CMP-2026-0099,Ver aggero taceo complectus thema adaugeo tergiversatio.,Agnitio absque fuga deludo architecto laudantium. Ascisco sequi aufero aufero caecus tenuis a demens sit at. Beatus amiculum spargo.,LIFT,LOW,open,,2026-07-06 16:09:20.512,,False,PENDING,False,2026-07-04 16:09:20.512000+00:00,[],0,2026-07-22 09:47:09.307000+00:00,7,5,16,17.734849958645835,,False,8-30 days,False
